,Rotation,Emphasis,Block,Trial,Aim_Errors
0,Sudden,Speed,0,0,0.03721611125125383
1,Sudden,Speed,0,1,0.03763983724363146
2,Sudden,Speed,0,2,0.03857262902336679
3,Sudden,Speed,0,3,0.04014962838731369
4,Sudden,Speed,0,4,0.04320600654763926
5,Sudden,Speed,0,5,0.04960779431218249
6,Sudden,Speed,0,6,0.060482949553029894
7,Sudden,Speed,0,7,0.07355488286089887
8,Sudden,Speed,0,8,0.08325651779325947
9,Sudden,Speed,0,9,0.08472344460541938
10,Sudden,Speed,0,10,0.07794642392301943
11,Sudden,Speed,0,11,0.06764650580195723
12,Sudden,Speed,0,12,0.05907903146909143
13,Sudden,Speed,0,13,0.054298356853525964
14,Sudden,Speed,0,14,0.052011813498930415
15,Sudden,Speed,0,15,0.05000927348668047
16,Sudden,Speed,0,16,0.0474674247502523
17,Sudden,Speed,0,17,0.04519929613975416
18,Sudden,Speed,0,18,0.04410734075317513
19,Sudden,Speed,0,19,0.04396766118332311
20,Sudden,Speed,0,20,0.04367913987329353
21,Sudden,Speed,0,21,0.04239962568684813
22,Sudden,Speed,0,22,0.04045540566567847
23,Sudden,Speed,0,23,0.03928745166910711
24,Sudden,Speed,0,24,0.04025584395430591
25,Sudden,Speed,0,25,0.04323822319946221
26,Sudden,Speed,0,26,0.04638901295563501
27,Sudden,Speed,0,27,0.04741602751010805
28,Sudden,Speed,0,28,0.04526508118346262
29,Sudden,Speed,0,29,0.04071625033051917
30,Sudden,Speed,0,30,0.03549837974638329
31,Sudden,Speed,0,31,0.031220486310928806
32,Sudden,Speed,0,32,0.029417900713607566
33,Sudden,Speed,0,33,0.03214908272906256
34,Sudden,Speed,0,34,0.04114752291778261
35,Sudden,Speed,0,35,0.05538976713026065
36,Sudden,Speed,0,36,0.0701807842149223
37,Sudden,Speed,0,37,0.0801825022764665
38,Sudden,Speed,0,38,0.0839262083814377
39,Sudden,Speed,0,39,0.08448640229341678
40,Sudden,Speed,0,40,0.08533300048130485
41,Sudden,Speed,0,41,0.08633256923387872
42,Sudden,Speed,0,42,0.08425331552010284
43,Sudden,Speed,0,43,0.07671436922770067
44,Sudden,Speed,0,44,0.06490277658346663
45,Sudden,Speed,0,45,0.052322678686023624
46,Sudden,Speed,0,46,0.041854440262213556
47,Sudden,Speed,0,47,0.03452268721221324
48,Sudden,Speed,0,48,0.03001796818790252
49,Sudden,Speed,0,49,0.027707739723845323
50,Sudden,Speed,0,50,0.02756937747607178
51,Sudden,Speed,0,51,0.030411425588426563
52,Sudden,Speed,0,52,0.03693154650745647
53,Sudden,Speed,0,53,0.04655507307487984
54,Sudden,Speed,0,54,0.05718088073900425
55,Sudden,Speed,0,55,0.06553986692794607
56,Sudden,Speed,0,56,0.06821946867329173
57,Sudden,Speed,0,57,0.06373114046568362
58,Sudden,Speed,0,58,0.053950132767574
59,Sudden,Speed,0,59,0.0426904859576419
60,Sudden,Speed,0,60,0.03269507951453178
61,Sudden,Speed,0,61,0.024590378739486406
62,Sudden,Speed,0,62,0.018391199139752252
63,Sudden,Speed,0,63,0.014827573036340441
64,Sudden,Speed,1,64,1.0234222959143957
65,Sudden,Speed,1,65,0.9950192070331787
66,Sudden,Speed,1,66,0.9500601234691572
67,Sudden,Speed,1,67,0.9117881157741885
68,Sudden,Speed,1,68,0.9062738880655403
69,Sudden,Speed,1,69,0.9460429734902935
70,Sudden,Speed,1,70,1.021644264331509
71,Sudden,Speed,1,71,1.1071509466431548
72,Sudden,Speed,1,72,1.1646485372857112
73,Sudden,Speed,1,73,1.1500380726628512
74,Sudden,Speed,1,74,1.0412226150587252
75,Sudden,Speed,1,75,0.8697572932764864
76,Sudden,Speed,1,76,0.7087547341939402
77,Sudden,Speed,1,77,0.6218343852169855
78,Sudden,Speed,1,78,0.625916598246591
79,Sudden,Speed,1,79,0.694825024856323
80,Sudden,Speed,1,80,0.7838666151385978
81,Sudden,Speed,1,81,0.8509303695835145
82,Sudden,Speed,1,82,0.870595079184411
83,Sudden,Speed,1,83,0.8444166219101561
84,Sudden,Speed,1,84,0.7994932727678916
85,Sudden,Speed,1,85,0.7676507433965251
86,Sudden,Speed,1,86,0.7593888432769519
87,Sudden,Speed,1,87,0.7601418841627621
88,Sudden,Speed,1,88,0.755916917334816
89,Sudden,Speed,1,89,0.7582429272255183
90,Sudden,Speed,1,90,0.7900503168563658
91,Sudden,Speed,1,91,0.8484385549905955
92,Sudden,Speed,1,92,0.9018361239732441
93,Sudden,Speed,1,93,0.9296853090081203
