,Participant_Id,Block,Trial,Rotation,Emphasis,Errors
0,0,0,0,Sudden,Speed,0.13832106103527436
1,0,0,1,Sudden,Speed,0.166995443005882
2,0,0,2,Sudden,Speed,0.20021623320397378
3,0,0,3,Sudden,Speed,0.20968034936286378
4,0,0,4,Sudden,Speed,0.18685754264184215
5,0,0,5,Sudden,Speed,0.14791070293523043
6,0,0,6,Sudden,Speed,0.11567648069792721
7,0,0,7,Sudden,Speed,0.10044879286616763
8,0,0,8,Sudden,Speed,0.09716941853974224
9,0,0,9,Sudden,Speed,0.09478467990332672
10,0,0,10,Sudden,Speed,0.08634355318453864
11,0,0,11,Sudden,Speed,0.07280433130082634
12,0,0,12,Sudden,Speed,0.059177438430887325
13,0,0,13,Sudden,Speed,0.048461093814460406
14,0,0,14,Sudden,Speed,0.04009992315059627
15,0,0,15,Sudden,Speed,0.03281392370264486
16,0,0,16,Sudden,Speed,0.026806066717321386
17,0,0,17,Sudden,Speed,0.023437112139523285
18,0,0,18,Sudden,Speed,0.023833659226803083
19,0,0,19,Sudden,Speed,0.027982360464413672
20,0,0,20,Sudden,Speed,0.03455345375182358
21,0,0,21,Sudden,Speed,0.04123176224474619
22,0,0,22,Sudden,Speed,0.04543004098932093
23,0,0,23,Sudden,Speed,0.045589353605025425
24,0,0,24,Sudden,Speed,0.04249319427543037
25,0,0,25,Sudden,Speed,0.03889322711531796
26,0,0,26,Sudden,Speed,0.03704531613620771
27,0,0,27,Sudden,Speed,0.036762139026624355
28,0,0,28,Sudden,Speed,0.036262202771537494
29,0,0,29,Sudden,Speed,0.03443559925768437
30,0,0,30,Sudden,Speed,0.031659581157475795
31,0,0,31,Sudden,Speed,0.028919984450672828
32,0,0,32,Sudden,Speed,0.027185216985342882
33,0,0,33,Sudden,Speed,0.027631351950849873
34,0,0,34,Sudden,Speed,0.03129001771527186
35,0,0,35,Sudden,Speed,0.037891066489349694
36,0,0,36,Sudden,Speed,0.045672565658370155
37,0,0,37,Sudden,Speed,0.0528707945358973
38,0,0,38,Sudden,Speed,0.05945408669031615
39,0,0,39,Sudden,Speed,0.0671611832845697
40,0,0,40,Sudden,Speed,0.07737998944232889
41,0,0,41,Sudden,Speed,0.08842450646043713
42,0,0,42,Sudden,Speed,0.09524998192202297
43,0,0,43,Sudden,Speed,0.09298939816604476
44,0,0,44,Sudden,Speed,0.08109876468324242
45,0,0,45,Sudden,Speed,0.06382392027499259
46,0,0,46,Sudden,Speed,0.04718770385835474
47,0,0,47,Sudden,Speed,0.03566435317376089
48,0,0,48,Sudden,Speed,0.03038345210185461
49,0,0,49,Sudden,Speed,0.029507562059303414
50,0,0,50,Sudden,Speed,0.030703613167259163
51,0,0,51,Sudden,Speed,0.033851619163092324
52,0,0,52,Sudden,Speed,0.041303935978997675
53,0,0,53,Sudden,Speed,0.05495590288587272
54,0,0,54,Sudden,Speed,0.07245549276556808
55,0,0,55,Sudden,Speed,0.08631981688803404
56,0,0,56,Sudden,Speed,0.08849595410402052
57,0,0,57,Sudden,Speed,0.07725386482007662
58,0,0,58,Sudden,Speed,0.05894291583314934
59,0,0,59,Sudden,Speed,0.0422193693222251
60,0,0,60,Sudden,Speed,0.031394339918079966
61,0,0,61,Sudden,Speed,0.025539311640059726
62,0,0,62,Sudden,Speed,0.02220493423007984
63,0,0,63,Sudden,Speed,0.0204097227217132
64,0,1,64,Sudden,Speed,1.1870051095516512
65,0,1,65,Sudden,Speed,1.1557065516181897
66,0,1,66,Sudden,Speed,1.1039496701150568
67,0,1,67,Sudden,Speed,1.0493408206330173
68,0,1,68,Sudden,Speed,1.0054010133438602
69,0,1,69,Sudden,Speed,0.9722726767155838
